Date,Sales
2016-12,5850
2017-12,4975
2017-09,4860
2016-09,4350
2016-03,3990
2018-09,3750
2016-06,3700
2017-03,3450
2018-03,3375
2018-12,3250
2016-08,2852
2018-06,2750
2018-11,2750
2018-08,2625
2017-06,2350
2019-03,2275
2017-08,2150
2019-12,2150
2016-07,1954
2017-02,1750
2019-06,1750
2017-05,1620
2016-02,1550
2018-05,1520
2017-07,1425
2016-11,1400
2018-10,1350
2017-11,1335
2018-04,1250
2016-05,1200
2018-07,1200
2017-04,1125
2018-02,1125
2017-10,1120
2019-09,1100
2019-08,1050
2019-05,1025
2019-07,975
2016-10,925
2017-01,900
2019-11,900
2016-01,850
2019-04,825
2016-04,800
2018-01,800
2019-01,725
2019-10,700
2019-02,625
