Date,Sales
2018-12,4100
2018-09,3975
2016-12,3875
2017-12,3300
2016-09,3200
2018-11,3200
2017-09,3120
2019-12,3100
2018-03,2825
2017-03,2750
2018-08,2750
2019-06,2725
2018-06,2550
2017-06,2200
2019-03,2175
2016-06,2145
2017-11,1875
2016-03,1860
2016-08,1833
2019-08,1825
2017-05,1730
2019-09,1675
2017-07,1650
2016-05,1600
2017-08,1575
2018-05,1450
2019-05,1375
2018-07,1325
2019-11,1300
2018-10,1225
2019-07,1225
2019-10,1100
2019-04,1050
2018-04,1025
2018-02,975
2016-11,900
2019-02,900
2017-10,850
2017-02,800
2016-04,795
2019-01,775
2016-07,750
2017-01,750
2016-10,725
2017-04,715
2018-01,700
2016-01,270
2016-02,270
